year,중국,일본,대만,홍콩,필리핀,인도네시아,태국,베트남,인도,말레이시아,싱가포르,몽골,우즈베키스탄,미얀마,GCC,카자흐스탄,터키,캄보디아,스리랑카,방글라데시,파키스탄,이스라엘,이란,아시아 기타,미국,캐나다,브라질,멕시코,아메리카 기타,러시아,영국,독일,프랑스,이탈리아,네덜란드,우크라이나,스페인,루마니아,노르웨이,스웨덴,폴란드,스위스,포르투갈,오스트리아,핀란드,벨기에,크로아티아,그리스,불가리아,덴마크,아일랜드,유럽 기타,오스트레일리아,뉴질랜드,오세아니아 기타,남아프리카공화국,아프리카 기타
1995,178359,1667203,130147,100407,163228,37723,73770,16720,35668,31145,38577,3792,4747,18520,1569,3016,5280,70,3135,9662,9295,4762,2655,5116,358872,34475,9362,2626,11692,155098,46923,46634,22295,13312,13182,8308,3961,4121,6421,6900,22175,8157,3876,4140,2778,3567,3198,14591,3408,5409,1741,7216,27251,6499,1891,1838,11056
1996,199604,1526559,114729,77958,178045,46570,74162,16750,38585,34957,43338,6608,6686,22099,1738,2753,5065,97,4465,12244,13868,4852,3971,6037,399300,42120,9397,3338,10354,157401,51373,48101,24651,15765,14778,8885,3987,2831,6385,6844,18545,8360,4317,5248,3141,3640,3954,14142,3447,5797,2066,9688,30694,6942,2304,2058,9820
1997,214244,1676434,104144,96650,187235,53204,62374,14102,42934,36459,55805,8279,8442,27612,1700,3062,5610,192,4455,7917,10286,5965,4317,5964,424258,46948,8289,4424,10021,136847,58568,51648,26673,14591,14853,7010,4402,2895,6851,7290,17514,8657,3348,5025,3551,4056,4069,12255,3870,5479,2230,9079,34640,7718,2735,4042,9873
1998,210662,1954416,108880,229072,165272,36486,49973,11561,40606,42554,92672,7393,5433,26303,2161,3498,6420,181,2592,7031,8645,4721,5552,7246,405735,46343,6327,3510,9402,135401,51871,46247,25712,10742,13323,7468,4097,3226,6992,7540,12297,6114,4431,4021,3225,3699,4248,8730,3315,5661,2071,8181,31028,7355,2716,3986,11877
1999,316639,2184121,110563,234087,198583,47019,63679,16121,43829,48435,75335,11659,9006,29103,2269,3195,4951,514,2864,13001,13798,4487,5608,7311,396286,50678,3748,3604,9621,127892,53902,47318,29424,11372,13869,10225,4492,3042,7550,7687,11975,5693,5615,3700,3463,4230,4246,10878,2371,5607,2131,8829,33378,8390,2696,3987,14682
2000,442794,2472054,127120,200874,248737,59085,87885,21483,51369,59933,82871,12156,10971,37794,2226,4380,5891,596,5905,10529,15775,5518,8967,9900,458617,56304,4492,4453,10653,155392,57895,51093,33991,13578,15611,14914,4944,4169,7500,8336,18292,6013,7170,3960,4082,4862,4955,9899,6105,6140,2376,11201,39614,9890,4563,4113,14204
2001,482227,2377321,129410,204959,210975,57288,73163,20399,47657,55848,71240,11614,9785,30955,1960,2496,6227,878,3630,9502,10082,5983,7116,16441,426817,59720,4734,4908,10608,134727,60080,52916,35598,12832,14952,14496,4921,4807,7069,7589,9454,6419,6905,4073,4065,4735,5732,9038,7569,6063,2741,12040,44295,12086,3301,4850,13315
2002,539466,2320837,136921,179299,215848,65093,74000,23574,52725,82720,79403,8567,10288,33559,3333,3655,10325,936,3624,6479,8087,6498,7743,11437,459362,67041,7278,8335,14424,165341,66696,59698,41207,14981,16288,17743,6662,5623,7050,7769,11082,6694,7114,4338,3870,5370,7105,9068,8794,8024,6590,16411,49759,13355,3859,5153,14424
2003,512768,1802542,194586,156358,216627,62744,78243,28244,50212,90623,76432,14361,12406,30488,1656,5078,7990,1687,5316,10916,8305,6271,7330,11476,421602,66183,4816,3774,8581,168038,60600,58809,35561,12732,15471,20146,5170,6264,6641,7690,10112,6288,3640,4332,3726,5342,6824,9257,10109,6567,3977,13773,48597,13875,3245,4186,13533
2004,627264,2443070,304908,155058,213434,61506,102588,33738,56966,93982,85202,18731,10644,29289,2575,4651,8645,1885,6756,9799,10777,7011,7202,14641,511170,77597,5849,5283,10663,156890,65981,68850,41229,14724,18167,17913,6166,6635,6930,8881,8671,6741,4115,4541,4042,5613,6081,9014,10417,7388,4600,14507,57834,16049,4038,4325,13580
2005,710243,2440139,351438,166206,222655,62294,112724,45455,58560,96583,81751,23939,9114,33745,3409,3542,8976,2047,10463,5742,8152,7660,6389,14359,530633,86402,6324,5711,10980,143850,72581,74962,44440,15713,18248,16523,6789,6652,7274,10097,9497,7657,5121,5489,4372,6392,6317,7833,10138,7989,4941,15984,63463,16419,5318,4534,13631
