ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
1,B,Ship,3,4,134,3,high,F,6,5680
2,F,Ship,4,3,173,3,medium,M,5,5331
3,B,Ship,2,1,192,3,high,M,46,3206
4,F,Ship,6,5,284,4,medium,M,8,5346
5,F,Flight,3,1,246,3,low,F,10,4707
6,C,Flight,4,2,211,2,low,F,39,2520
7,B,Flight,2,1,238,4,medium,F,4,4780
8,F,Ship,4,1,178,3,medium,M,9,1006
9,A,Ship,3,4,198,2,medium,F,20,2266
10,C,Ship,4,1,214,2,low,F,10,4447
11,F,Ship,5,1,234,5,medium,M,8,1837
12,F,Ship,3,5,146,10,low,M,9,4128
13,B,Ship,4,1,194,3,medium,F,9,5804
14,A,Flight,5,2,241,2,medium,M,9,4965
15,F,Road,5,2,260,2,high,M,58,2018
16,F,Ship,5,5,162,3,high,F,31,1364
17,F,Ship,4,4,205,3,low,F,11,2255
18,A,Road,6,2,240,4,low,M,9,4099
19,F,Ship,6,5,275,4,low,M,2,1700
20,A,Ship,4,1,151,6,low,M,7,4387
21,B,Ship,4,4,181,3,low,M,44,2070
22,D,Road,4,5,140,2,medium,F,5,4347
23,F,Road,3,2,134,2,medium,F,45,1946
24,A,Ship,2,2,152,4,low,F,48,1212
25,C,Flight,4,5,157,3,medium,M,10,5898
26,D,Ship,4,4,167,4,low,M,2,5908
27,C,Road,3,4,248,4,medium,M,8,4540
28,A,Ship,4,5,167,2,low,F,7,5800
29,F,Road,5,2,249,6,low,M,8,1170
30,F,Ship,5,4,151,3,low,F,10,4611
31,D,Ship,3,1,203,4,medium,M,12,2779
32,B,Ship,4,4,246,2,medium,F,2,4633
33,B,Ship,5,3,194,4,low,M,9,5851
34,A,Road,3,1,201,2,medium,F,4,4857
35,C,Ship,2,3,146,3,medium,M,18,1289
36,F,Ship,5,2,243,3,high,M,2,5734
37,D,Ship,5,5,287,4,low,M,4,1509
38,F,Flight,6,5,256,5,low,M,10,1686
39,F,Flight,3,4,190,10,medium,F,32,2064
40,C,Ship,4,1,141,2,low,F,23,1689
41,D,Ship,3,4,145,2,high,F,5,5513
42,F,Ship,5,1,201,2,medium,F,54,2158
43,F,Flight,3,1,135,3,low,M,9,4511
44,B,Ship,4,5,164,4,low,F,4,5736
45,F,Ship,5,1,227,5,low,M,6,1667
46,F,Ship,6,3,274,4,low,F,5,1452
47,D,Flight,5,4,286,5,low,F,3,5208
48,F,Ship,2,3,144,3,high,M,40,1500
49,A,Flight,4,1,157,5,low,M,10,4871
50,F,Ship,2,1,222,2,medium,M,58,3626
51,F,Ship,4,3,158,3,low,M,18,1036
52,F,Ship,5,1,161,3,low,M,47,1954
53,A,Flight,5,2,248,2,low,F,10,4813
54,A,Ship,3,4,250,6,medium,M,1,4543
55,D,Ship,2,4,140,3,low,F,7,1411
56,B,Ship,5,1,167,3,medium,M,3,4267
